left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-763.6382634686673,-2.2433280403147835,-763.5187297936222,-15.684610011693916,-763.6190795898438,-4.400510311126709
-762.0706159082749,-2.2345333819222217,-761.9517012260915,-15.674717637827392,-762.0515747070312,-4.386641502380371
-760.516333233661,-2.224852884141095,-760.3984918384933,-15.66437184279272,-760.4974975585938,-4.3730149269104
-758.9816251451448,-2.2152990244166184,-758.8653637561864,-15.654477440848492,-758.9630737304688,-4.359740734100342
-757.4699211868964,-2.2059508464156394,-757.3556792108859,-15.644714789267052,-757.4517211914062,-4.346892833709717
-755.9793873476747,-2.19676710801008,-755.8676274617444,-15.63509676489357,-755.9616088867188,-4.334500312805176
-754.5063187351683,-2.1878526667594653,-754.3973866366939,-15.625448301113575,-754.489013671875,-4.3225626945495605
-753.0449235912719,-2.178972282667319,-752.9391290371932,-15.616253466683794,-753.0281372070312,-4.311060905456543
-751.5894712042228,-2.1711245670650334,-751.4870425915134,-15.607222059232654,-751.5732421875,-4.299969673156738
-750.1356569592404,-2.162445275305661,-750.0367163191954,-15.598234156129449,-750.1199951171875,-4.2892680168151855
-748.6800047131412,-2.153828535506861,-748.5846165744731,-15.58926878053769,-748.6649169921875,-4.278937339782715
-747.2214959356724,-2.1452663795016202,-747.1296023510347,-15.58035188606294,-747.2069702148438,-4.268965244293213
-745.7592104002974,-2.136826719785462,-745.6707809219032,-15.571165603332815,-745.7452392578125,-4.25934362411499
-744.2932182743286,-2.1284895824372168,-744.2081583904962,-15.56252215268641,-744.27978515625,-4.250064849853516
-742.8237680225948,-2.120190131805328,-742.7419590624287,-15.55402378173563,-742.8108520507812,-4.241119384765625
-741.3509695210172,-2.1129024779059353,-741.2723382826772,-15.545627364381115,-741.3385620117188,-4.232501029968262
-739.874765822775,-2.1048263078035503,-739.799269576194,-15.537307392026534,-739.8628540039062,-4.224206924438477
-738.395818977845,-2.0968310918778137,-738.3234442071019,-15.529200371097257,-738.3843994140625,-4.216240882873535
-736.9136785944277,-2.0889038344905897,-736.8445614946436,-15.520678957951361,-736.9027709960938,-4.208616733551025
-735.428958161391,-2.0810042728893747,-735.3632104287601,-15.512667087375052,-735.4185791015625,-4.201351642608643
-733.9418876335255,-2.0731676410212336,-733.87971121183,-15.504756862180697,-733.9320678710938,-4.194470405578613
-732.4531340260086,-2.0664673157649225,-732.3947329026917,-15.496858013238613,-732.4439086914062,-4.187999248504639
-730.9637563872903,-2.0588112705192243,-730.9092466604015,-15.489127010625303,-730.9551391601562,-4.181956768035889
-729.4756656600156,-2.0511780695681754,-729.4250185580873,-15.481391151861152,-729.4676513671875,-4.176347255706787
-727.9915785825757,-2.0436066808600275,-727.9445646053102,-15.473813422280523,-727.984130859375,-4.171154022216797
-723.5237747724735,-2.0211072144349393,-723.482132337435,-15.450729437116365,-723.5171508789062,-4.1573028564453125
-722.008727461494,-2.0145294675731917,-721.9696354315143,-15.443079315610598,-722.0025024414062,-4.152893543243408
-720.4908650573919,-2.0069237403190745,-720.453234341692,-15.435338525899187,-720.48486328125,-4.1486406326293945
-718.9694296169148,-1.9990186857564343,-718.931937818465,-15.427782906068774,-718.9634399414062,-4.144392967224121
-717.444223832322,-1.9912195282333678,-717.4067829616874,-15.420022991433571,-717.438232421875,-4.140140533447266
-715.9151479121597,-1.983005044604936,-715.8783009838986,-15.412273876524024,-715.9092407226562,-4.1359453201293945
-714.3821101313497,-1.9753205802506448,-714.3481005836936,-15.403994650301499,-714.3766479492188,-4.132063865661621
-712.8461755353325,-1.966973248637177,-712.81176005628,-15.396506024707584,-712.8406372070312,-4.128127574920654
-711.3063206421743,-1.9587674243093516,-711.2712061616869,-15.38896668043888,-711.3006591796875,-4.124101161956787
