pos_x,pos_y
-621.72705078125,-241.35813903808594
-623.1176147460938,-242.295654296875
-624.496826171875,-243.22618103027344
-625.854248046875,-244.1422119140625
-627.1834106445312,-245.03890991210938
-628.4825439453125,-245.91453552246094
-629.7532348632812,-246.7699737548828
-631.0005493164062,-247.6082000732422
-632.22998046875,-248.43276977539062
-633.4468383789062,-249.2472381591797
-634.655517578125,-250.05482482910156
-635.8599853515625,-250.85784912109375
-637.0623779296875,-251.65817260742188
-638.2640991210938,-252.45706176757812
-639.4662475585938,-253.25540161132812
-640.6696166992188,-254.05386352539062
-641.8746337890625,-254.85292053222656
-643.0813598632812,-255.65296936035156
-644.2901000976562,-256.4542236328125
-645.5012817382812,-257.2568664550781
-646.7146606445312,-258.0611572265625
-647.9304809570312,-258.8670959472656
-649.1488647460938,-259.6748046875
-650.3697509765625,-260.48431396484375
-651.59326171875,-261.295654296875
-656.6758422851562,-264.66668701171875
-657.9950561523438,-265.5416259765625
-659.3174438476562,-266.41827392578125
-660.6430053710938,-267.2966003417969
-661.9716186523438,-268.1769104003906
-663.3034057617188,-269.0589599609375
-664.6383056640625,-269.94287109375
-665.9765014648438,-270.8285827636719
-667.3177490234375,-271.7158203125
-668.6619262695312,-272.60467529296875
-670.0095825195312,-273.4955139160156
-671.3602905273438,-274.387939453125
-672.7139892578125,-275.2820739746094
-674.0709838867188,-276.1780700683594
-675.4307861328125,-277.0755310058594
-676.793701171875,-277.974609375
-678.1599731445312,-278.875732421875
-679.5291748046875,-279.7787170410156
-680.9011840820312,-280.68328857421875
-682.2763061523438,-281.58966064453125
-683.6543579101562,-282.49774169921875
-685.0353393554688,-283.4075012207031
-686.4195556640625,-284.3190002441406
-687.8064575195312,-285.2320861816406
-689.1961059570312,-286.14703369140625
-690.5888671875,-287.0638427734375
-691.9843139648438,-287.9823303222656
-693.3826293945312,-288.90283203125
-694.7835083007812,-289.82513427734375
-696.1869506835938,-290.7492980957031
-697.5934448242188,-291.6755065917969
-699.0023193359375,-292.60369873046875
-700.2568969726562,-293.4303894042969
-701.5137329101562,-294.2584228515625
-702.7725830078125,-295.0880432128906
-704.0311889648438,-295.9176940917969
-705.2877807617188,-296.74627685546875
-706.542724609375,-297.5736083984375
-707.7960815429688,-298.399658203125
-709.2047729492188,-299.328125
-710.45751953125,-300.1539306640625
-711.7115478515625,-300.9806213378906
-712.9669189453125,-301.80816650390625
-714.2239379882812,-302.6368103027344
-715.4825439453125,-303.4664611816406
-716.7427978515625,-304.2972717285156
-718.0044555664062,-305.129150390625
-719.267822265625,-305.96209716796875
-720.5333862304688,-306.7962951660156
-721.8004150390625,-307.6312255859375
-723.0694580078125,-308.4671630859375
-724.3406982421875,-309.30419921875
-725.6138305664062,-310.1421813964844
-726.8889770507812,-310.9809265136719
-728.1663208007812,-311.8206481933594
-729.4456787109375,-312.66156005859375
-730.7262573242188,-313.5032653808594
-732.008544921875,-314.3462219238281
-733.2930908203125,-315.1908264160156
-734.5794677734375,-316.0365905761719
-735.8677368164062,-316.8830871582031
-737.1577758789062,-317.73052978515625
-738.4494018554688,-318.5792541503906
-739.7428588867188,-319.4293518066406
-741.0380249023438,-320.2806091308594
-742.3351440429688,-321.13275146484375
-743.6341552734375,-321.9859313964844
-744.9346313476562,-322.8402404785156
-746.2366943359375,-323.69549560546875
-747.5410766601562,-324.55194091796875
-748.8471069335938,-325.409423828125
-750.154541015625,-326.2681579589844
-751.4634399414062,-327.128173828125
-752.7741088867188,-327.9897766113281
-754.08642578125,-328.8525695800781
-755.4002075195312,-329.7164306640625
-756.7156372070312,-330.5815734863281
-758.03271484375,-331.4481506347656
-759.35107421875,-332.3159484863281
-760.6710815429688,-333.18487548828125
-761.9926147460938,-334.0550842285156
-763.3157958984375,-334.9264831542969
