left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-616.2433925439132,-249.50090380252692,-624.6631880548426,-236.9982256189406,-621.72705078125,-241.35813903808594
-617.6598301753378,-250.3908809940663,-626.0869005471733,-237.89147868736376,-623.1176147460938,-242.295654296875
-619.0682907127792,-251.27226703910782,-627.4996155427565,-238.77549599255408,-624.496826171875,-243.22618103027344
-620.4543915045568,-252.14399823166485,-628.8882182448443,-239.64631817542949,-625.854248046875,-244.1422119140625
-621.8150381982981,-252.99637148932192,-630.2476247349686,-240.4968692595244,-627.1834106445312,-245.03890991210938
-623.1455027515862,-253.83290595434835,-631.5736576749974,-241.32836452053755,-628.4825439453125,-245.91453552246094
-624.4489643695246,-254.6490795598503,-632.8703253289768,-242.13976388685688,-629.7532348632812,-246.7699737548828
-625.7283725587871,-255.45341099680175,-634.140212413914,-242.93625518951492,-631.0005493164062,-247.6082000732422
-626.9912716491652,-256.24367018086787,-635.391369957698,-243.719146764167,-632.22998046875,-248.43276977539062
-628.2382736221047,-257.0291034237209,-636.6278190482386,-244.49468843892726,-633.4468383789062,-249.2472381591797
-629.4766984935098,-257.8057339726328,-637.8567419719668,-245.2636940675667,-634.655517578125,-250.05482482910156
-630.7097929063654,-258.58269740912243,-639.0787601409412,-246.02996216621517,-635.8599853515625,-250.85784912109375
-631.9396415208996,-259.3544858393092,-640.2997745672002,-246.79436221588705,-637.0623779296875,-251.65817260742188
-633.165531183956,-260.1265326296994,-641.5195612218818,-247.56006480047478,-638.2640991210938,-252.45706176757812
-634.3923474754587,-260.8957331126606,-642.740879352235,-248.32442700830381,-639.4662475585938,-253.25540161132812
-635.6176713161004,-261.6676959037395,-643.9628171534312,-249.0906514664355,-640.6696166992188,-254.05386352539062
-636.8450352847204,-262.4378013366435,-645.1872524482764,-249.85732940125783,-641.8746337890625,-254.85292053222656
-638.0710228173859,-263.21013854973177,-646.4135256448443,-250.62701195515749,-643.0813598632812,-255.65296936035156
-639.3002185931616,-263.9817598301815,-647.6427162854019,-251.39660058376643,-644.2901000976562,-256.4542236328125
-640.5310513957544,-264.7569045461851,-648.8733599379945,-252.16842724781532,-645.5012817382812,-257.2568664550781
-641.7637994773447,-265.53018549472165,-650.1080479756143,-252.9417840418209,-646.7146606445312,-258.0611572265625
-642.9983178044874,-266.30764197314113,-651.3438197690499,-253.71781281383306,-647.9304809570312,-258.8670959472656
-644.2352687991327,-267.0866913609604,-652.5834357133936,-254.49394507747698,-649.1488647460938,-259.6748046875
-645.4759965383911,-267.86497972875407,-653.825910934287,-255.27180038312298,-650.3697509765625,-260.48431396484375
-646.7185568631219,-268.6467664262605,-655.0700443016615,-256.0526253600629,-651.59326171875,-261.295654296875
-651.8843745241521,-271.890888906707,-660.2399132715093,-259.2930583747834,-656.6758422851562,-264.66668701171875
-653.2260741958429,-272.73219284142544,-661.5821001150724,-260.13315941148284,-657.9950561523438,-265.5416259765625
